,KC index,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,lng,sqft_living15,sqft_lot15,dists_parks (m),dists_coffee (m),dists_restr (m),dists_trail (m),dists_gyms (m),dists_bus (m),dists_groc (m),dists_play (m),dists_pubs (m)
12827,12827,524059241,20150319T000000,870000.0,4.0,1.75,2780,11000,1.0,0,0,3,9,1560,1220,1964,0,98004,47.595,-122.203,2350,11700,"[210, 586, 1101, 1108, 1274, 1504]","[1169, 1543, 1718, 1742, 1771, 2011]","[1169, 1514, 1537, 1653, 1663, 1663]","[1517, 1742, 1970, 2307, 2497, 3593]","[1518, 1572, 1594, 1600, 1890, 2017]","[1989, 3877, 4236, 4527, 5146, 5164]","[1858, 2455, 2491, 2628, 2759, 2778]","[884, 3300, 3616, 5005, 5998, 6218]","[1695, 1705, 1713, 2135, 2170, 2260]"
12871,12871,8146300180,20150512T000000,860000.0,5.0,2.25,1960,8592,1.0,0,0,4,8,1290,670,1958,0,98004,47.6066,-122.192,1720,8592,"[326, 949, 967, 990, 1125, 1325]","[259, 692, 749, 781, 793, 867]","[179, 228, 580, 605, 660, 709]","[1462, 1928, 2384, 2450, 2969, 3447]","[216, 551, 740, 949, 1069, 1099]","[3173, 3515, 3914, 4165, 4218, 4222]","[569, 926, 1259, 1400, 1653, 2365]","[2051, 3419, 3947, 4767, 5020, 5313]","[240, 886, 970, 991, 1015, 1137]"
12884,12884,3861470120,20141126T000000,1610000.0,4.0,2.75,4270,25807,2.0,0,0,3,11,4270,0,1996,0,98004,47.5951,-122.206,3860,20723,"[369, 395, 1090, 1293, 1423, 1492]","[1383, 1695, 1756, 1767, 1775, 2065]","[1383, 1644, 1663, 1663, 1677, 1678]","[1689, 1831, 1946, 2517, 2720, 3657]","[1588, 1718, 1733, 1778, 1903, 1934]","[1869, 4100, 4422, 4752, 5088, 5111]","[1925, 2298, 2576, 2594, 2613, 2657]","[1034, 3467, 3474, 4955, 6197, 6271]","[1695, 1704, 1852, 2168, 2204, 2281]"
12965,12965,8146100610,20141201T000000,672000.0,3.0,1.0,1220,8573,1.0,0,0,4,7,1220,0,1954,0,98004,47.6088,-122.193,1390,8573,"[576, 869, 926, 934, 996, 1233]","[486, 500, 511, 526, 614, 615]","[392, 394, 410, 426, 465, 465]","[1634, 2125, 2195, 2635, 3206, 3651]","[432, 514, 769, 827, 851, 1049]","[3322, 3676, 3915, 3966, 3972, 4069]","[326, 790, 1120, 1215, 1414, 2141]","[2282, 3245, 4202, 4772, 4780, 5336]","[359, 726, 730, 745, 869, 893]"
13091,13091,629000410,20150217T000000,915000.0,3.0,2.75,2800,9750,1.0,0,0,5,7,1400,1400,1957,0,98004,47.5862,-122.202,2800,9530,"[783, 857, 1388, 1538, 1610, 1879]","[1677, 2267, 2311, 2328, 2434, 2492]","[1567, 1680, 2309, 2324, 2347, 2382]","[815, 993, 1069, 2723, 2723, 2724]","[1258, 1425, 1971, 2287, 2317, 2370]","[1427, 3648, 4016, 4563, 6117, 6120]","[2305, 2373, 2502, 2710, 2778, 2795]","[482, 2619, 4108, 4468, 5395, 5772]","[2525, 2673, 2677, 2685, 2707, 3099]"
13176,13176,686800065,20141119T000000,667500.0,3.0,1.75,2130,20423,1.0,0,0,3,9,2130,0,1953,0,98004,47.6339,-122.192,2370,20875,"[1139, 1150, 1296, 1585, 2081, 2301]","[386, 682, 1210, 1493, 1629, 1794]","[281, 646, 650, 1008, 1038, 1057]","[946, 2564, 3319, 3390, 3824, 4350]","[906, 984, 1188, 1572, 1616, 1673]","[1172, 2045, 2109, 2849, 3703, 3857]","[659, 1125, 1824, 1959, 2127, 2323]","[1999, 3370, 4906, 4940, 5068, 5068]","[1851, 1914, 1921, 1964, 2056, 2088]"
13196,13196,5493100366,20140625T000000,1700000.0,5.0,3.5,5850,22885,2.0,0,2,4,11,4670,1180,1978,0,98004,47.606,-122.211,3240,19020,"[467, 488, 554, 933, 946, 1456]","[819, 922, 986, 1161, 1219, 1220]","[599, 615, 650, 657, 694, 747]","[2541, 2822, 2842, 3094, 3152, 3214]","[641, 1142, 1354, 1619, 1746, 1889]","[2859, 3831, 3857, 4348, 4541, 5265]","[1264, 1398, 1470, 2112, 2389, 2400]","[2240, 2298, 4615, 5203, 5951, 5972]","[689, 792, 1272, 1295, 1306, 1311]"
13357,13357,9808590210,20140513T000000,860000.0,4.0,2.5,3560,11119,1.0,0,2,3,10,2290,1270,1986,0,98004,47.6456,-122.19,3290,11385,"[787, 1383, 1567, 2012, 2054, 2367]","[1019, 1342, 1436, 1744, 2371, 2412]","[548, 764, 823, 1193, 1470, 1496]","[1760, 2135, 3439, 3677, 3696, 3754]","[799, 1828, 2196, 2349, 2791, 2822]","[542, 1770, 2140, 2228, 2549, 2629]","[1450, 2290, 2333, 2393, 2876, 3067]","[807, 3694, 4083, 4217, 4238, 4349]","[1816, 1817, 2957, 2988, 3050, 3138]"
13528,13528,3025059124,20140828T000000,3168750.0,5.0,3.5,4330,11979,1.0,0,4,3,12,2090,2240,2008,0,98004,47.6251,-122.218,4320,12000,"[1055, 1091, 1558, 1637, 1641, 1726]","[1221, 1242, 1332, 1347, 1382, 1389]","[510, 522, 1248, 1262, 1291, 1293]","[1318, 1771, 2134, 4204, 4689, 4717]","[1530, 1739, 1786, 1936, 2041, 2084]","[1666, 1703, 2626, 3795, 4913, 5124]","[876, 1152, 1209, 1679, 2280, 2603]","[1192, 3389, 4387, 4622, 5620, 5981]","[1470, 1513, 1543, 1606, 1664, 1688]"
13542,13542,251500330,20141014T000000,1775000.0,3.0,2.25,4320,19225,1.0,0,0,4,10,2160,2160,1972,0,98004,47.6368,-122.216,3430,18469,"[661, 1291, 1701, 2055, 2059, 2089]","[485, 520, 1143, 1609, 2303, 2310]","[1182, 1182, 1271, 1292, 1384, 1415]","[1497, 1509, 1616, 3922, 4864, 4916]","[1387, 2284, 2286, 2390, 2561, 2708]","[415, 419, 1641, 2509, 3853, 4118]","[1167, 1477, 2181, 2185, 3078, 3119]","[2173, 2240, 4634, 4678, 5046, 5575]","[2334, 2338, 2366, 2420, 2487, 2549]"
13591,13591,686550040,20140619T000000,1240000.0,4.0,3.5,3820,13224,2.0,0,0,3,10,3280,540,1990,0,98004,47.6005,-122.199,3340,9700,"[639, 662, 834, 880, 982, 1369]","[867, 909, 1086, 1130, 1195, 1354]","[864, 874, 888, 1046, 1071, 1102]","[1858, 1887, 2202, 2285, 2636, 3040]","[927, 1037, 1051, 1172, 1248, 1636]","[2659, 3569, 4268, 4425, 4639, 4649]","[1192, 1782, 2062, 2116, 2239, 2405]","[1359, 3372, 3589, 5480, 5679, 5694]","[1057, 1115, 1163, 1501, 1534, 1640]"
13635,13635,8146100580,20141020T000000,765000.0,3.0,1.0,1220,7585,1.0,0,0,4,7,1220,0,1954,0,98004,47.6094,-122.194,1380,8918,"[657, 800, 829, 962, 996, 1159]","[404, 421, 442, 522, 523, 533]","[297, 325, 370, 392, 398, 416]","[1732, 2111, 2225, 2711, 3268, 3691]","[414, 531, 750, 754, 869, 995]","[3416, 3693, 3844, 3873, 3877, 4164]","[227, 808, 1131, 1200, 1315, 2053]","[2342, 3149, 4292, 4702, 4839, 5398]","[458, 628, 644, 648, 784, 795]"
13675,13675,4389201075,20140731T000000,1900000.0,4.0,2.5,3680,13351,2.0,0,2,5,9,3680,0,1946,1982,98004,47.6154,-122.214,3410,11700,"[636, 814, 1041, 1080, 1349, 1373]","[678, 682, 734, 769, 795, 923]","[685, 693, 778, 781, 784, 793]","[1695, 2732, 3200, 3368, 3845, 3845]","[1006, 1109, 1196, 1243, 1440, 1593]","[2765, 2794, 3422, 3855, 4791, 5055]","[449, 760, 1444, 1526, 2174, 2212]","[1510, 3277, 4256, 5268, 5590, 5719]","[915, 929, 965, 970, 973, 996]"
13851,13851,5461300150,20141211T000000,1795000.0,5.0,2.75,2880,20274,1.0,0,3,4,9,1660,1220,1959,0,98004,47.6267,-122.222,3750,20220,"[919, 1181, 1610, 1634, 1723, 1956]","[993, 1021, 1679, 1691, 1726, 1728]","[815, 821, 1587, 1597, 1609, 1638]","[1424, 1587, 1815, 4549, 4837, 5061]","[1876, 2081, 2132, 2278, 2353, 2384]","[1509, 1561, 2688, 3717, 5061, 5094]","[1067, 1434, 1556, 1826, 2621, 2943]","[1030, 3398, 4289, 4668, 5388, 5814]","[1818, 1861, 1889, 1952, 2009, 2033]"
13869,13869,824059042,20140530T000000,1886700.0,5.0,3.5,4180,17935,2.0,0,0,3,11,4180,0,2004,0,98004,47.5873,-122.202,2950,13760,"[661, 821, 1279, 1496, 1617, 1848]","[1583, 2218, 2320, 2341, 2460, 2494]","[1585, 1586, 2198, 2234, 2343, 2404]","[921, 1013, 1179, 2648, 2668, 2823]","[1373, 1484, 1886, 2183, 2259, 2291]","[1482, 3704, 3977, 4538, 5997, 6017]","[2315, 2425, 2526, 2675, 2750, 2833]","[433, 2686, 4222, 4363, 5490, 5859]","[2413, 2551, 2563, 2701, 2725, 2977]"
13945,13945,524059052,20141209T000000,975000.0,4.0,2.25,2420,15482,2.0,0,0,4,8,2420,0,1925,1997,98004,47.5907,-122.196,2870,13905,"[399, 525, 977, 1276, 1286, 1473]","[1006, 1699, 2190, 2240, 2307, 2431]","[1009, 1685, 1727, 2116, 2155, 2183]","[810, 1186, 1729, 2061, 2104, 2934]","[1299, 1629, 1745, 1899, 2067, 2156]","[2061, 3440, 3529, 4034, 5744, 5746]","[2253, 2257, 2509, 2663, 2670, 2824]","[259, 2592, 4316, 4746, 5529, 5759]","[1902, 2227, 2268, 2523, 2599, 2631]"
13964,13964,1266200120,20150321T000000,720000.0,2.0,1.0,1370,9460,1.0,0,0,3,6,1370,0,1950,0,98004,47.6238,-122.191,1690,9930,"[385, 390, 544, 1548, 1649, 1704]","[467, 475, 621, 676, 892, 940]","[377, 521, 597, 668, 688, 704]","[864, 2768, 3303, 3401, 3658, 3793]","[234, 525, 564, 626, 777, 1133]","[2280, 2714, 2749, 3609, 3943, 4099]","[775, 951, 1091, 1199, 1225, 1415]","[3121, 3130, 3956, 4555, 5145, 5184]","[896, 1009, 1030, 1052, 1133, 1140]"
14086,14086,8146200150,20141110T000000,830000.0,4.0,2.25,2180,11056,1.0,0,0,3,8,1370,810,1963,0,98004,47.6042,-122.193,2090,8747,"[103, 900, 991, 1159, 1257, 1387]","[312, 783, 831, 919, 970, 1024]","[273, 280, 778, 782, 839, 857]","[1459, 1875, 2129, 2691, 2697, 3171]","[321, 526, 925, 926, 1003, 1309]","[3179, 3256, 3908, 4425, 4426, 4426]","[787, 1192, 1524, 1676, 1837, 2448]","[1776, 3485, 3731, 4918, 5282, 5452]","[448, 980, 1090, 1175, 1201, 1338]"
14125,14125,8086000201,20141204T000000,875000.0,3.0,2.5,1820,6848,1.0,0,0,4,7,1820,0,1953,0,98004,47.6287,-122.207,2080,11700,"[502, 964, 966, 1326, 1776, 1971]","[832, 1240, 1278, 1293, 1305, 1308]","[442, 465, 774, 799, 1037, 1042]","[469, 2352, 2483, 3791, 3891, 4426]","[1166, 1266, 1298, 1442, 1607, 1663]","[1524, 1536, 1857, 3267, 4533, 4656]","[370, 818, 1130, 1570, 2031, 2135]","[2107, 2688, 4549, 5355, 5473, 5828]","[1271, 1326, 1403, 1461, 1515, 1555]"
14232,14232,824059305,20150108T000000,2200000.0,5.0,4.0,5840,11652,2.0,0,1,3,11,4410,1430,1988,0,98004,47.5835,-122.202,3120,13639,"[1005, 1083, 1633, 1665, 1674, 1984]","[1920, 2105, 2315, 2395, 2421, 2513]","[1564, 1924, 2285, 2288, 2305, 2391]","[586, 815, 1006, 2488, 2876, 2923]","[982, 1316, 2195, 2405, 2547, 2648]","[1332, 3525, 4126, 4638, 5934, 6411]","[2270, 2306, 2467, 2635, 2661, 3092]","[684, 2472, 3832, 4728, 5170, 5563]","[2582, 2746, 2803, 2973, 2985, 3311]"
14328,14328,8085400410,20150331T000000,920000.0,3.0,1.0,1410,9656,1.0,0,0,3,7,960,450,1953,0,98004,47.6354,-122.208,2410,9384,"[286, 1544, 1549, 1881, 1980, 2281]","[528, 1024, 1075, 1103, 1966, 1986]","[563, 564, 1018, 1079, 1086, 1112]","[996, 2116, 2195, 3444, 4531, 4872]","[1045, 1705, 1875, 1929, 2080, 2179]","[907, 951, 1265, 2530, 3818, 3984]","[550, 1020, 1878, 2186, 2582, 2858]","[2027, 2456, 4737, 5162, 5230, 5295]","[2007, 2063, 2142, 2199, 2251, 2293]"
14550,14550,632000065,20140611T000000,1989000.0,3.0,2.5,2880,13500,1.0,0,4,5,8,1520,1360,1950,0,98004,47.6281,-122.216,3710,20486,"[739, 1360, 1552, 1554, 1810, 1923]","[976, 987, 1361, 1463, 1497, 1526]","[443, 451, 1333, 1338, 1352, 1358]","[1133, 1737, 1986, 4306, 4375, 4831]","[1569, 1744, 1906, 1938, 1949, 2054]","[1347, 1375, 2272, 3435, 4761, 4970]","[994, 1229, 1336, 1360, 2425, 2583]","[1484, 3025, 4649, 4699, 5625, 5863]","[1569, 1619, 1667, 1731, 1790, 1821]"
14607,14607,629000704,20140729T000000,1000000.0,4.0,2.0,1780,15648,1.5,0,0,5,8,1780,0,1918,0,98004,47.5849,-122.198,2320,14963,"[675, 973, 1315, 1338, 1660, 1783]","[1635, 2233, 2327, 2359, 2406, 2410]","[1639, 1859, 2050, 2067, 2229, 2238]","[560, 688, 1130, 2434, 2540, 2601]","[1270, 1647, 1890, 2277, 2406, 2643]","[1660, 3315, 3790, 4307, 6267, 6325]","[2041, 2381, 2445, 2600, 2778, 2906]","[404, 2289, 4100, 4749, 5094, 5644]","[2346, 2563, 2838, 2864, 3019, 3235]"
14779,14779,4122700040,20141010T000000,860000.0,3.0,1.75,2600,15064,1.0,0,0,4,8,1700,900,1967,0,98004,47.64,-122.204,2940,14984,"[875, 1689, 1864, 1869, 1877, 1983]","[601, 787, 1447, 1484, 1856, 2093]","[454, 486, 667, 689, 763, 1288]","[1372, 2342, 2570, 2955, 4321, 4346]","[457, 1883, 2090, 2296, 2299, 2419]","[693, 1015, 1095, 2008, 3257, 3398]","[635, 1458, 2378, 2658, 2775, 2815]","[1436, 3025, 4207, 4658, 5297, 5528]","[1906, 1908, 2467, 2520, 2607, 2658]"
14799,14799,6684500040,20141202T000000,725000.0,3.0,1.0,940,8377,1.0,0,0,4,7,940,0,1952,0,98004,47.5974,-122.2,1710,6900,"[482, 740, 911, 925, 1139, 1280]","[898, 1194, 1431, 1468, 1519, 1705]","[897, 1165, 1189, 1385, 1401, 1421]","[1589, 1953, 2015, 2255, 2285, 3382]","[1223, 1243, 1262, 1360, 1596, 1981]","[2338, 3636, 4237, 4309, 4945, 4959]","[1544, 2110, 2387, 2443, 2580, 2639]","[1036, 3354, 3559, 5328, 5682, 6042]","[1364, 1441, 1472, 1847, 1881, 1983]"
14953,14953,2344300170,20140815T000000,1500000.0,5.0,3.5,4370,12240,2.0,0,0,3,11,3270,1100,1990,0,98004,47.582,-122.199,2980,12800,"[965, 1269, 1452, 1592, 1906, 1934]","[1958, 2147, 2233, 2305, 2401, 2411]","[1809, 1961, 2024, 2026, 2186, 2195]","[308, 843, 866, 2216, 2791, 2889]","[972, 1505, 2200, 2603, 2676, 2737]","[1530, 3254, 3994, 4475, 6017, 6514]","[2009, 2385, 2394, 2546, 2687, 3233]","[735, 2197, 3779, 4895, 4984, 5516]","[2323, 2893, 2999, 3151, 3172, 3355]"
15060,15060,4122500095,20150413T000000,1050000.0,5.0,2.75,2520,18625,1.0,0,0,3,8,1660,860,1959,0,98004,47.6409,-122.207,3000,16624,"[898, 1744, 1749, 1826, 2043, 2050]","[797, 1033, 1276, 1315, 1746, 2100]","[571, 624, 862, 868, 881, 1534]","[1523, 2118, 2381, 3131, 4258, 4291]","[577, 2094, 2335, 2438, 2461, 2592]","[791, 834, 875, 1915, 3207, 3396]","[831, 1587, 2481, 2548, 2784, 2885]","[1462, 2946, 4121, 4551, 5341, 5427]","[1789, 1792, 2592, 2647, 2730, 2784]"
15069,15069,8146300020,20140529T000000,723000.0,4.0,2.25,1960,8680,1.0,0,0,4,8,1290,670,1959,0,98004,47.6076,-122.192,2160,8680,"[437, 902, 949, 1017, 1060, 1311]","[334, 633, 652, 676, 736, 767]","[258, 312, 474, 531, 573, 618]","[1506, 1988, 2344, 2495, 3080, 3551]","[282, 622, 658, 920, 1003, 1161]","[3207, 3606, 3951, 4054, 4119, 4125]","[476, 836, 1170, 1299, 1565, 2292]","[2160, 3369, 4051, 4738, 4909, 5289]","[239, 841, 878, 897, 975, 1044]"
15072,15072,251610020,20150508T000000,1580000.0,4.0,2.75,3480,19991,2.0,0,2,4,10,2630,850,1979,0,98004,47.6354,-122.214,3770,20271,"[446, 1504, 1840, 1843, 1863, 2045]","[627, 654, 977, 1469, 2102, 2156]","[1006, 1009, 1083, 1105, 1361, 1363]","[1294, 1686, 1747, 3846, 4799, 4971]","[1353, 2074, 2075, 2175, 2345, 2501]","[618, 626, 1598, 2612, 3944, 4178]","[997, 1261, 1982, 2054, 2904, 3031]","[2141, 2264, 4781, 4800, 5184, 5387]","[2160, 2215, 2284, 2345, 2401, 2439]"
15101,15101,686800080,20140612T000000,1034500.0,4.0,2.5,2370,10858,2.0,0,0,3,9,2370,0,2003,0,98004,47.6336,-122.192,2510,21673,"[1107, 1118, 1294, 1552, 2114, 2298]","[415, 688, 1180, 1461, 1597, 1761]","[296, 650, 653, 986, 1026, 1087]","[923, 2588, 3327, 3391, 3793, 4319]","[873, 972, 1217, 1539, 1582, 1650]","[1204, 2058, 2120, 2880, 3698, 3890]","[664, 1102, 1792, 1930, 2096, 2290]","[2032, 3356, 4894, 4973, 5035, 5092]","[1823, 1883, 1890, 1932, 2025, 2056]"
15135,15135,8964800050,20150304T000000,1770000.0,3.0,2.5,2580,14603,1.0,0,2,4,9,2580,0,1951,0,98004,47.6199,-122.212,2410,14347,"[994, 1072, 1258, 1265, 1273, 1383]","[642, 648, 667, 680, 710, 817]","[606, 629, 638, 664, 681, 688]","[1212, 2481, 2866, 3498, 4004, 4224]","[953, 1091, 1195, 1317, 1369, 1381]","[2298, 2318, 2903, 4276, 4369, 5130]","[540, 622, 1036, 1561, 1851, 2048]","[1541, 3690, 3735, 5219, 5931, 5936]","[813, 845, 854, 912, 967, 985]"
15158,15158,5493110020,20150116T000000,1950000.0,4.0,2.75,4020,18745,2.0,0,4,4,10,2830,1190,1989,0,98004,47.6042,-122.21,3150,20897,"[384, 625, 682, 743, 1068, 1359]","[919, 993, 1038, 1324, 1347, 1349]","[742, 744, 757, 765, 791, 838]","[2637, 2713, 2720, 2881, 2949, 3090]","[725, 1210, 1468, 1554, 1798, 1888]","[2683, 4040, 4065, 4433, 4525, 5150]","[1302, 1610, 1644, 2133, 2444, 2450]","[2029, 2495, 4412, 5383, 5884, 6047]","[799, 876, 1373, 1408, 1422, 1433]"
15204,15204,3835500585,20141016T000000,1900000.0,4.0,2.75,4280,12668,2.0,0,0,3,9,3900,380,1947,2008,98004,47.6185,-122.219,3590,12670,"[898, 921, 1129, 1299, 1421, 1549]","[1081, 1096, 1099, 1129, 1135, 1289]","[982, 1007, 1094, 1102, 1116, 1144]","[1708, 2229, 2719, 3860, 4332, 4344]","[1481, 1515, 1528, 1722, 1728, 1907]","[2399, 2439, 3279, 4179, 4524, 5534]","[139, 1046, 1527, 1923, 2264, 2564]","[1044, 3748, 4076, 4786, 5388, 5670]","[1307, 1312, 1328, 1361, 1409, 1414]"
15213,15213,1651800010,20140702T000000,1300000.0,4.0,1.75,2610,21600,1.0,0,0,4,8,2610,0,1966,0,98004,47.6245,-122.227,2920,20330,"[493, 1198, 1306, 1627, 1677, 2024]","[1276, 1313, 1875, 1882, 1890, 1913]","[1143, 1188, 1199, 1833, 1839, 1897]","[1336, 1869, 1991, 4716, 5212, 5216]","[2146, 2324, 2371, 2409, 2567, 2575]","[1842, 1906, 3126, 4086, 4880, 5314]","[988, 1770, 1828, 2272, 2772, 3239]","[589, 3818, 3992, 4620, 4956, 5369]","[2042, 2078, 2088, 2146, 2200, 2216]"
15245,15245,629000605,20150227T000000,1398000.0,3.0,2.5,2910,10044,2.0,0,0,4,10,2910,0,1989,0,98004,47.5845,-122.199,2420,12287,"[760, 996, 1394, 1425, 1659, 1868]","[1709, 2274, 2355, 2382, 2424, 2465]","[1713, 1784, 2104, 2117, 2282, 2294]","[542, 767, 1046, 2439, 2627, 2685]","[1191, 1563, 1970, 2348, 2470, 2583]","[1576, 3363, 3876, 4391, 6180, 6350]","[2093, 2442, 2494, 2526, 2699, 2956]","[472, 2328, 4027, 4746, 5106, 5677]","[2401, 2626, 2874, 2897, 2950, 3279]"
15246,15246,5536100005,20140808T000000,2300000.0,7.0,4.75,5310,8816,2.0,0,0,3,10,3650,1660,2013,0,98004,47.6221,-122.208,2920,10610,"[906, 914, 991, 1073, 1210, 1314]","[572, 616, 641, 693, 720, 726]","[443, 460, 474, 476, 476, 479]","[830, 2580, 2880, 3414, 3937, 4339]","[710, 925, 1009, 1121, 1330, 1362]","[2152, 2158, 2567, 4004, 4657, 4896]","[446, 657, 1004, 1505, 1531, 1792]","[1844, 3412, 3845, 5432, 5802, 6010]","[673, 723, 772, 836, 894, 927]"
15291,15291,6664000130,20141013T000000,635250.0,3.0,2.25,2210,22040,1.0,0,0,5,8,1510,700,1976,0,98004,47.5904,-122.194,2470,14258,"[255, 671, 832, 1126, 1404, 1428]","[954, 1693, 2246, 2302, 2364, 2377]","[958, 1682, 1727, 2111, 2164, 2215]","[691, 1164, 1789, 1964, 1979, 2847]","[1222, 1597, 1741, 1945, 2176, 2234]","[2173, 3304, 3389, 3890, 5669, 5822]","[2118, 2295, 2365, 2535, 2653, 2963]","[289, 2467, 4438, 4781, 5420, 5610]","[1898, 2297, 2346, 2383, 2648, 2680]"
15353,15353,644210020,20150105T000000,780000.0,4.0,2.5,3020,15164,1.0,0,0,4,8,1730,1290,1976,0,98004,47.5882,-122.192,2600,11556,"[100, 764, 897, 930, 1263, 1692]","[1128, 1910, 2098, 2123, 2142, 2148]","[1132, 1841, 1889, 1903, 1951, 2005]","[405, 959, 1709, 1963, 2026, 2566]","[1341, 1783, 1836, 1961, 2198, 2383]","[2204, 3122, 3236, 3784, 5756, 6028]","[1845, 2110, 2262, 2551, 2860, 3071]","[333, 2185, 4636, 4722, 5133, 5372]","[2116, 2117, 2574, 2627, 2913, 2944]"
15405,15405,3394100020,20141120T000000,990000.0,4.0,2.5,3140,11049,2.0,0,0,3,10,3140,0,1988,0,98004,47.5817,-122.192,2750,11049,"[810, 981, 1274, 1482, 1535, 1860]","[1664, 1788, 1835, 1879, 1888, 2629]","[1509, 1514, 1682, 1687, 1703, 1712]","[360, 460, 1324, 1901, 2428, 2607]","[1366, 2007, 2024, 2306, 2364, 2488]","[2051, 2757, 3551, 3995, 5989, 6331]","[1495, 1861, 1889, 3071, 3213, 3270]","[814, 1718, 4024, 4537, 5071, 5125]","[1806, 2829, 2835, 3269, 3312, 3469]"
15410,15410,8146100095,20140515T000000,839000.0,3.0,1.0,1230,12305,1.0,0,0,3,7,1230,0,1955,1990,98004,47.6095,-122.195,2100,7960,"[689, 727, 757, 906, 1069, 1127]","[345, 363, 421, 448, 488, 495]","[226, 267, 331, 347, 361, 390]","[1803, 2083, 2292, 2734, 3276, 3680]","[350, 591, 675, 709, 930, 1003]","[3490, 3665, 3829, 3829, 3832, 4237]","[180, 865, 1183, 1236, 1261, 2016]","[2348, 3076, 4331, 4690, 4910, 5470]","[528, 569, 578, 601, 709, 744]"
15567,15567,5493110080,20140815T000000,1825000.0,3.0,3.75,6030,39317,2.0,0,0,3,11,4440,1590,1991,0,98004,47.6055,-122.21,4040,12333,"[382, 524, 538, 887, 940, 1373]","[806, 895, 950, 1186, 1223, 1227]","[611, 615, 643, 644, 679, 729]","[2573, 2739, 2753, 3016, 3093, 3126]","[618, 1115, 1350, 1544, 1758, 1808]","[2823, 3898, 3922, 4384, 4457, 5180]","[1224, 1482, 1503, 2066, 2360, 2370]","[2156, 2391, 4524, 5242, 6027, 6031]","[680, 770, 1261, 1295, 1298, 1311]"
15708,15708,3250500103,20150408T000000,925000.0,3.0,1.75,1610,10796,1.0,0,0,3,7,1070,540,1951,0,98004,47.6272,-122.208,1940,10796,"[646, 954, 955, 1262, 1624, 1833]","[1013, 1094, 1155, 1161, 1173, 1213]","[277, 298, 911, 915, 926, 952]","[538, 2331, 2513, 3814, 3954, 4346]","[1069, 1199, 1342, 1385, 1485, 1608]","[1634, 1639, 2040, 3438, 4710, 4838]","[387, 979, 998, 1392, 2005, 2015]","[1973, 2870, 4399, 5307, 5645, 5871]","[1144, 1199, 1269, 1330, 1385, 1424]"
15722,15722,9315600050,20150317T000000,1675000.0,5.0,3.25,4560,19080,1.0,0,0,5,9,2490,2070,1963,0,98004,47.6291,-122.226,3390,20140,"[987, 1323, 1325, 1643, 1652, 1821]","[765, 802, 1985, 2078, 2091, 2126]","[1172, 1172, 1573, 1979, 1992, 1993]","[1025, 1432, 1887, 4949, 4963, 5161]","[2263, 2460, 2492, 2532, 2657, 2706]","[1340, 1409, 2737, 3591, 4942, 5242]","[1407, 1751, 1955, 1993, 3022, 3316]","[1050, 3377, 3943, 5037, 5202, 5682]","[2215, 2259, 2289, 2352, 2409, 2433]"
15728,15728,2450000275,20140716T000000,595000.0,4.0,1.5,1350,8113,1.0,0,0,4,7,1350,0,1959,0,98004,47.5807,-122.196,1930,8113,"[984, 1298, 1463, 1540, 1846, 1928]","[1883, 2012, 2056, 2156, 2168, 2395]","[1770, 1778, 1926, 1938, 1942, 1954]","[76, 738, 1004, 1965, 2718, 2865]","[1052, 1719, 2221, 2612, 2666, 2674]","[1750, 2993, 3866, 4315, 6124, 6291]","[1758, 2136, 2144, 2790, 2917, 3368]","[854, 1932, 3766, 4639, 5223, 5249]","[2074, 2985, 3126, 3252, 3320, 3350]"
15758,15758,9534400010,20150423T000000,965800.0,4.0,1.75,2500,8725,1.0,0,0,4,8,1500,1000,1966,0,98004,47.6304,-122.205,1900,8998,"[427, 970, 974, 1387, 1951, 2192]","[592, 1070, 1370, 1409, 1410, 1435]","[533, 558, 682, 706, 1159, 1165]","[421, 2456, 2523, 3557, 3948, 4485]","[1219, 1276, 1334, 1462, 1492, 1706]","[1457, 1483, 1624, 3074, 4322, 4430]","[421, 578, 1310, 1811, 2031, 2260]","[2325, 2464, 4712, 5276, 5482, 5721]","[1417, 1472, 1554, 1609, 1659, 1702]"
15887,15887,8861000095,20140930T000000,865000.0,3.0,1.5,1790,7526,1.0,0,0,3,7,1790,0,1953,2014,98004,47.6387,-122.207,2080,10943,"[659, 1803, 1821, 1828, 1938, 2058]","[611, 955, 1190, 1226, 1990, 2274]","[673, 687, 721, 735, 1022, 1445]","[1292, 2125, 2318, 3218, 4498, 4530]","[717, 1904, 2201, 2226, 2232, 2369]","[812, 884, 959, 2158, 3444, 3618]","[645, 1348, 2237, 2554, 2793, 2819]","[1668, 2764, 4365, 4795, 5318, 5564]","[2033, 2036, 2351, 2406, 2488, 2543]"
15892,15892,4389200876,20140701T000000,1565000.0,4.0,2.75,2970,12750,1.5,0,1,4,7,2130,840,1918,1986,98004,47.6135,-122.213,1980,15300,"[416, 692, 839, 1117, 1130, 1505]","[647, 672, 749, 777, 809, 824]","[588, 658, 658, 680, 709, 724]","[1833, 2944, 3210, 3420, 3624, 3675]","[817, 1052, 1117, 1230, 1462, 1596]","[2985, 3011, 3593, 3654, 4909, 4991]","[631, 823, 1313, 1671, 2089, 2179]","[1670, 3054, 4435, 5374, 5427, 5780]","[735, 864, 912, 934, 944, 959]"
